segment;expected;rank;hypothesis;codepoint;distance;similarity
7;І;20;Ф;U+0424;1.25995097;0.44248748
7;І;21;Я;U+042F;1.26297411;0.44189635
7;І;22;Ю;U+042E;1.28642177;0.43736462
7;І;23;Ё;U+0401;1.30902889;0.43308250
7;І;24;Ө;U+04E8;1.31284451;0.43236802
7;І;25;Ш;U+0428;1.31486072;0.43199143
7;І;26;Ж;U+0416;1.32294998;0.43048710
7;І;27;Қ;U+049A;1.33451810;0.42835393
7;І;28;Щ;U+0429;1.37435804;0.42116647
7;І;29;Р;U+0420;1.38986541;0.41843361
7;І;30;Ь;U+042C;1.39250787;0.41797146
7;І;31;Ы;U+042B;1.43020808;0.41148740
7;І;32;Г;U+0413;1.49771428;0.40036605
7;І;33;К;U+041A;1.50333563;0.39946701
7;І;34;П;U+041F;1.54864712;0.39236503
7;І;35;Ч;U+0427;1.56392594;0.39002687
7;І;36;Һ;U+04BA;1.57148928;0.38887971
7;І;37;Ц;U+0426;1.58843378;0.38633401
7;І;38;М;U+041C;1.59187817;0.38582060
7;І;39;Ң;U+04A2;1.61849757;0.38189839
7;І;40;Й;U+0419;1.62637840;0.38075245
7;І;41;Н;U+041D;1.64717321;0.37776145
7;І;42;И;U+0418;1.72465638;0.36701876
8;Ж;1;Ж;U+0416;0.11828554;0.89422599
8;Ж;2;Ү;U+04AE;0.73001782;0.57802873
8;Ж;3;К;U+041A;0.86135937;0.53724177
8;Ж;4;Х;U+0425;1.00685125;0.49829303
8;Ж;5;М;U+041C;1.02528845;0.49375683
8;Ж;6;У;U+0423;1.02690369;0.49336335
8;Ж;7;Ф;U+0424;1.07146806;0.48274942
8;Ж;8;Ұ;U+04B0;1.09049819;0.47835487
8;Ж;9;И;U+0418;1.10187384;0.47576595
8;Ж;10;О;U+041E;1.15696516;0.46361435
8;Ж;11;Й;U+0419;1.17216561;0.46037006
8;Ж;12;Ю;U+042E;1.17251083;0.46029690
8;Ж;13;Қ;U+049A;1.19969683;0.45460810
8;Ж;14;В;U+0412;1.21525808;0.45141467
8;Ж;15;Я;U+042F;1.21650630;0.45116046
8;Ж;16;І;U+0406;1.28249236;0.43811757
8;Ж;17;Б;U+0411;1.29822997;0.43511747
8;Ж;18;Ъ;U+042A;1.31174708;0.43257327
8;Ж;19;З;U+0417;1.32547330;0.43001999
8;Ж;20;Л;U+041B;1.33875538;0.42757785
8;Ж;21;Ө;U+04E8;1.34519451;0.42640386
8;Ж;22;С;U+0421;1.35151672;0.42525745
8;Ж;23;Э;U+042D;1.35671085;0.42432019
8;Ж;24;А;U+0410;1.37680144;0.42073351
8;Ж;25;Р;U+0420;1.37868070;0.42040111
8;Ж;26;Ә;U+04D8;1.37997261;0.42017290
8;Ж;27;Ы;U+042B;1.38549050;0.41920100
8;Ж;28;Д;U+0414;1.43633108;0.41045325
8;Ж;29;Ь;U+042C;1.43823020;0.41013355
8;Ж;30;Е;U+0415;1.45247847;0.40775078
8;Ж;31;Ш;U+0428;1.45998151;0.40650712
8;Ж;32;Ғ;U+0492;1.48053629;0.40313863
